state_name,year,Total_Exp,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Total_Households_Worked,Total_Individuals_Worked,Average_days_of_employment_provided_per_Household,Persondays_of_Central_Liability_so_far,SC_persondays,ST_persondays,Women_Persondays,Differently_abled_persons_worked,Material_and_skilled_Wages,Wages,Total_Adm_Expenditure,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,percentage_payments_generated_within_15_days,Number_of_Completed_Works,Number_of_Ongoing_Works,Total_No_of_JobCards_issued,Total_No_of_Works_Takenup
MADHYA PRADESH,2023,4727120.2338632,1623513423.0,200.50680024964538,34231099,52429971,36.63652482269504,1351686970,170966037,419718021,581851639,450083,1688805.307148092,2758635.7439702,279679.18274,366756,99.9050354609929,5463120,9363188,94446873,14826308
MADHYA PRADESH,2024,86164406.697353,29929096679.0,232.65647913743592,637532803,919070026,33.32413466845384,23280899080,2913962130,7516708808,10114482656,7656957,25109981.45798883,53917010.6532525,7137414.58637,4572116,99.82702120949303,55143947,153766924,2212839089,208910871
MAHARASHTRA,2018,1101234.5172072,420406256.0,197.05628935804197,10043879,17843031,35.33566433566433,383897927,38844492,79993611,157067910,66720,298147.3931638,758939.71978,44147.4042642,727893,99.93590909090908,1733677,5189071,78828901,6922748
MAHARASHTRA,2019,967148.1672485,464317207.0,203.89620676592355,9167362,16128669,33.105095541401276,330492019,35829826,65173571,136831556,59254,242997.07813986,676286.0780872001,47865.01105,610633,99.90703821656051,1875984,5564191,88561472,7440175
MAHARASHTRA,2020,974759.08730408,393039095.0,220.85230782438273,10358246,18839348,31.694444444444443,360722801,30769976,108275736,147684947,61382,131286.49702864,791404.9595833,52067.63068,656775,99.90391975308641,1548531,6386611,95432698,7935142
MAHARASHTRA,2021,1298002.6709236,619387992.0,235.51676462872064,14869477,26265212,26.64751958224543,441828871,38854040,99243347,191278859,114444,232874.89113889,1037929.9687739,27197.81105,728210,99.93313315926893,1516691,9570798,135622665,11087489
MAHARASHTRA,2022,1881108.5182797,497895198.0,244.78168945013851,16315795,28489795,28.224376731301938,533012516,41270072,116684387,241919608,96215,518677.32802319,1312825.5868394999,49605.60341,810113,99.92584487534624,2105238,9999566,139226999,12104804
MAHARASHTRA,2023,2295531.83446296,594007786.0,258.7054527685484,17926400,29815895,28.75537634408602,628991219,46992438,110345450,282180553,124022,640948.96206315,1603257.9141837,51324.95819,1142032,99.90763440860215,2106973,10441010,147155185,12547983
MAHARASHTRA,2024,80651725.0968403,17156027732.0,293.3412438473163,530328316,875704971,33.87847417576235,21273217748,1323256422,3139210966,9599966196,3790079,17453788.772283394,61000492.5469085,2197443.77664,41478578,99.84541577585236,49801118,269448331,3683146576,319249449
RAJASTHAN,2018,1051241.974041,335454410.0,153.44350387951806,8972753,13607686,39.57831325301205,400256745,84111931,65305974,232611033,27702,402985.0851904,617641.9179230001,30614.97097,315094,99.94000000000001,641700,1961845,27199576,2603545
RAJASTHAN,2019,2834596.574452,1172609274.5,156.47520925935828,27634072,40042975,49.0427807486631,1413900029,315921425,326808812,911247064,111726,446133.1050654,2213965.971392,174497.49798,1925425,99.94887700534758,1539708,3796625,61544706,5336333
RAJASTHAN,2020,5308173.9694356,1847834820.0,164.5491425976744,52076588,75457476,47.82170542635659,2624287942,548401073,689199263,1698029389,226389,718151.6365092,4335404.460379,254617.87255,3195394,99.95027131782945,2114232,5638630,87803547,7752862
RAJASTHAN,2021,6860778.529361,2038106785.5,176.59653233372435,59272805,81151535,39.302052785923756,2674837790,542851442,638340164,1767796039,252230,1744225.1217021,4770103.511173,346449.89658,2911543,99.93697947214076,2132510,7818524,124242432,9951034
RAJASTHAN,2022,6137906.349706,1846503752.5,181.35145231146132,53255930,71804668,39.10315186246418,2285721781,481331515,562520275,1535315499,255556,1827502.6310857001,4202496.945251,107906.77348,1464216,99.93836676217765,2338590,8800182,121020586,11138772
RAJASTHAN,2023,5828887.518696,1987011277.0,191.44214996077346,56157876,74160881,39.5828729281768,2530310039,512686013,630384734,1721420401,263752,785103.4865635,4963236.802479,80547.22974,1227110,99.93662983425413,1976042,7400248,125365438,9376290
RAJASTHAN,2024,147988142.2955932,44417743052.0,218.8496132910622,1181657741,1495852562,35.53872633390706,47299895860,9557440043,12428933021,32806914996,5624747,41565018.7586448,103460275.083442,2962848.45484,24030787,99.86817310056553,49387795,149211398,2858708113,198599193
